date,currency_code,rate,units
2024.03.06,AUD,24.9141,1
2024.03.06,CAD,28.2394,1
2024.03.06,CNY,5.3332,1
2024.03.06,CZK,1.6426,1
2024.03.06,DKK,5.5872,1
2024.03.06,HKD,4.9078,1
2024.03.06,HUF,0.105219,10
2024.03.06,INR,0.46316,1
2024.03.06,IDR,0.0024333,1
2024.03.06,ILS,10.6719,1
2024.03.06,JPY,0.25528,10
2024.03.06,KZT,0.085682,100
2024.03.06,KRW,0.028772,1
2024.03.06,MXN,2.2634,1
2024.03.06,MDL,2.1612,1
2024.03.06,NZD,23.3322,1
2024.03.06,NOK,3.6296,1
2024.03.06,RUB,0.42201,1
2024.03.06,SGD,28.5651,1
2024.03.06,ZAR,2.0215,1
2024.03.06,SEK,3.6919,1
2024.03.06,CHF,43.3198,1
2024.03.06,EGP,1.2432,1
2024.03.06,GBP,48.6878,1
2024.03.06,USD,38.3943,1
2024.03.06,BYN,13.9555,1
2024.03.06,AZN,22.5982,1
2024.03.06,RON,8.3768,1
2024.03.06,TRY,1.2129,1
2024.03.06,XDR,50.9981,1
2024.03.06,BGN,21.2959,1
2024.03.06,EUR,41.6463,1
2024.03.06,PLN,9.6311,1
2024.03.06,DZD,0.28321,1
2024.03.06,BDT,0.3459,1
2024.03.06,AMD,0.094144,1
2024.03.06,DOP,0.65004,1
2024.03.06,IRR,0.00090593,1
2024.03.06,IQD,0.029045,1
2024.03.06,KGS,0.42551,1
2024.03.06,LBP,0.000425,1
2024.03.06,LYD,7.8762,1
2024.03.06,MYR,8.022,1
2024.03.06,MAD,3.7715,1
2024.03.06,PKR,0.13675,1
2024.03.06,SAR,10.1456,1
2024.03.06,VND,0.0015437,1
2024.03.06,THB,1.05901,1
2024.03.06,AED,10.3594,1
2024.03.06,TND,12.1956,1
2024.03.06,UZS,0.0030447,1
2024.03.06,TWD,1.20401,1
2024.03.06,TMT,10.8712,1
2024.03.06,RSD,0.3516,1
2024.03.06,TJS,3.4733,1
2024.03.06,GEL,14.3241,1
2024.03.06,BRL,7.6217,1
2024.03.06,XAU,81563.32,1
2024.03.06,XAG,919.1,1
2024.03.06,XPT,34118.71,1
2024.03.06,XPD,36342.51,1
2024.03.07,AUD,24.9535,1
2024.03.07,CAD,28.1661,1
2024.03.07,CNY,5.3154,1
2024.03.07,CZK,1.6407,1
2024.03.07,DKK,5.5793,1
2024.03.07,HKD,4.8903,1
2024.03.07,HUF,0.105811,10
2024.03.07,INR,0.46197,1
2024.03.07,IDR,0.0024352,1
2024.03.07,ILS,10.6092,1
2024.03.07,JPY,0.25577,10
2024.03.07,KZT,0.085462,100
2024.03.07,KRW,0.028682,1
2024.03.07,MXN,2.2655,1
2024.03.07,MDL,2.1571,1
2024.03.07,NZD,23.3463,1
2024.03.07,NOK,3.624,1
2024.03.07,RUB,0.42242,1
2024.03.07,SGD,28.5336,1
2024.03.07,ZAR,2.0248,1
2024.03.07,SEK,3.6967,1
2024.03.07,CHF,43.2438,1
2024.03.07,EGP,0.763,1
2024.03.07,GBP,48.627,1
2024.03.07,USD,38.2664,1
2024.03.07,BYN,13.909,1
2024.03.07,AZN,22.5242,1
2024.03.07,RON,8.3695,1
2024.03.07,TRY,1.2055,1
2024.03.07,XDR,50.886,1
2024.03.07,BGN,21.265,1
2024.03.07,EUR,41.5918,1
2024.03.07,PLN,9.6774,1
2024.03.07,DZD,0.28321,1
2024.03.07,BDT,0.3459,1
2024.03.07,AMD,0.094144,1
2024.03.07,DOP,0.65004,1
2024.03.07,IRR,0.00090593,1
2024.03.07,IQD,0.029045,1
2024.03.07,KGS,0.42551,1
2024.03.07,LBP,0.000425,1
2024.03.07,LYD,7.8762,1
2024.03.07,MYR,8.022,1
2024.03.07,MAD,3.7715,1
2024.03.07,PKR,0.13675,1
2024.03.07,SAR,10.1456,1
2024.03.07,VND,0.0015437,1
2024.03.07,THB,1.05901,1
2024.03.07,AED,10.3594,1
2024.03.07,TND,12.1956,1
2024.03.07,UZS,0.0030447,1
2024.03.07,TWD,1.20401,1
2024.03.07,TMT,10.8712,1
2024.03.07,RSD,0.3516,1
2024.03.07,TJS,3.4733,1
2024.03.07,GEL,14.3241,1
2024.03.07,BRL,7.6217,1
